,task,method,metric,weights_type,ablation_type,plot_type,auc,n_points,test_kl_div,test_kl_div_max,test_kl_div_min,test_loss,test_loss_max,test_loss_min
9,greaterthan,SP,kl_div,trained,random_ablation,roc_edges,0.8204945272871373,34,0.6128822209793725,2.0361286163330083,0.023204899998381733,0.6128822209793725,2.0361286163330083,0.023204899998381733
10,ioi,ACDC,kl_div,trained,random_ablation,roc_edges,0.8684702253102986,32,1.1771907962315404,4.759255409240723,0.0021870937198400497,1.1771907962315404,4.759255409240723,0.0021870937198400497
11,tracr-reverse,ACDC,l2,trained,random_ablation,roc_edges,0.2,21,0.006638604681938887,0.21243534982204437,0.0,0.016203684732317924,0.5185179114341736,2.1864021086042942e-26
12,tracr-proportion,ACDC,l2,trained,random_ablation,roc_edges,0.6,14,-6.007197517199359e-10,-6.007197517199359e-10,-6.007197517199359e-10,4.7882550823881434e-17,4.7882550823881434e-17,4.7882550823881434e-17
13,docstring,ACDC,kl_div,trained,random_ablation,roc_edges,0.4335417507059298,30,2.3858776624713625,3.3102173805236816,0.4797833561897278,2.3858776624713625,3.3102173805236816,0.4797833561897278
14,greaterthan,ACDC,kl_div,trained,random_ablation,roc_edges,0.8834051911014631,31,0.4296817784117342,2.035829782485962,0.001398508669808507,0.4296817784117342,2.035829782485962,0.001398508669808507
15,ioi,PIG,kl_div,trained,random_ablation,roc_edges,0.5480084131078693,447,1.7875780905579988,4.759342193603516,0.0,1.7875780905579988,4.759342193603516,0.0
16,tracr-reverse,PIG,l2,trained,random_ablation,roc_edges,0.5216117216117215,19,0.037488591145066655,0.21243534982204437,0.0,0.09150316084132475,0.5185179114341736,0.0
17,tracr-proportion,PIG,l2,trained,random_ablation,roc_edges,0.7928571428571429,11,0.007013407432370716,0.024300090968608856,0.0,0.08199588788880242,0.2720370292663574,0.0
18,docstring,PIG,kl_div,trained,random_ablation,roc_edges,0.6373336022589754,99,1.3567616838179337,3.2468008995056152,0.0,1.3567616838179337,3.2468008995056152,0.0
19,greaterthan,PIG,kl_div,trained,random_ablation,roc_edges,0.5714479369493368,447,0.6682903747961972,2.046536922454834,0.0,0.6682903747961972,2.046536922454834,0.0
